BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
,16, 2000, 1000,, RS, lab004-077, 13, 13, 5, 18, 0.066547,0.0665721893
,16, 2000, 1000,, RS, lab004-077, 14, 14, 6, 20, 0.067798,0.0678181648
,16, 2000,1000,, SR,lab004-074, 1, 1, 9, 10, 0.064745,0.0647678375
,16, 2000, 1000,, RS, lab004-076, 9, 9, 1, 10, 0.064356,0.0643808842
,16, 2000, 1000,, RS, lab004-076, 11, 11, 3, 14, 0.067060,0.0670809746
,16, 2000,1000,, SR,lab004-075, 5, 5, 13, 18, 0.066871,0.0668950081
,16, 2000,1000,, SR,lab004-074, 3, 3, 11, 14, 0.067500,0.0675199032
,16, 2000, 1000,, RS, lab004-076, 10, 10, 2, 12, 0.067817,0.0678429604
,16, 2000,1000,, SR,lab004-074, 2, 2, 10, 12, 0.068277,0.0683088303
,16, 2000,1000,, SR,lab004-075, 6, 6, 14, 20, 0.067985,0.0680031776
,16, 2000, 1000,, RS, lab004-077, 15, 15, 7, 22, 0.069047,0.0690660477
,16, 2000,1000,, SR,lab004-075, 7, 7, 15, 22, 0.069234,0.0692508221
,16, 2000, 1000,, RS, lab004-077, 12, 12, 4, 16, 0.069811,0.0698311329
,16, 2000,1000,, SR,lab004-074, 0, 0, 8, 8, 0.069944,0.0699620247
,16, 2000, 1000,, RS, lab004-076, 8, 8, 0, 8, 0.069568,0.0695919991
,16, 2000,1000,, SR,lab004-075, 4, 4, 12, 16, 0.069966,0.0699830055
,4, 2000, 1000,, RS, lab004-074, 2, 2, 0, 2, 0.002352,0.0023789406
,4, 2000,1000,, SR,lab004-074, 0, 0, 2, 2, 0.002355,0.0023758411
,4, 2000, 1000,, RS, lab004-074, 3, 3, 1, 4, 0.002789,0.0028088093
,4, 2000,1000,, SR,lab004-074, 1, 1, 3, 4, 0.002516,0.0025339127
,8, 2000, 1000,, RS, lab004-075, 7, 7, 3, 10, 0.055791,0.0558099747
,8, 2000,1000,, SR,lab004-074, 3, 3, 7, 10, 0.056008,0.0560300350
,8, 2000, 1000,, RS, lab004-075, 5, 5, 1, 6, 0.068497,0.0685141087
,8, 2000,1000,, SR,lab004-074, 1, 1, 5, 6, 0.068475,0.0684940815
,8, 2000, 1000,, RS, lab004-075, 6, 6, 2, 8, 0.069643,0.0696589947
,8, 2000,1000,, SR,lab004-074, 2, 2, 6, 8, 0.069739,0.0697588921
,8, 2000, 1000,, RS, lab004-075, 4, 4, 0, 4, 0.069864,0.0698940754
,8, 2000,1000,, SR,lab004-074, 0, 0, 4, 4, 0.070005,0.0700259209
