EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009168,0.0091838837
1, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009174,0.0091950893
1, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009245,0.0092630386
1, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009231,0.0092501640
2, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009218,0.0092439651
2, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009220,0.0092439651
2, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009577,0.0095970631
2, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009332,0.0093479156
3, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009220,0.0092380047
3, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009217,0.0092380047
3, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009307,0.0093350410
3, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009616,0.0096459389
4, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009157,0.0091769695
4, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009176,0.0091948509
4, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009354,0.0093710423
4, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009630,0.0096459389
5, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009150,0.0091681480
5, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009132,0.0091519356
5, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009567,0.0095839500
5, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009369,0.0093848705
6, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009139,0.0091619492
6, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009140,0.0091619492
6, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009589,0.0096049309
6, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009302,0.0093169212
7, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009149,0.0091691017
7, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009161,0.0091791153
7, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009357,0.0093719959
7, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009647,0.0096628666
8, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009214,0.0092329979
8, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009211,0.0092320442
8, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009632,0.0096478462
8, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009361,0.0093779564
9, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009219,0.0092389584
9, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009242,0.0092630386
9, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009488,0.0095040798
9, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009303,0.0093190670
10, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.009202,0.0092248917
10, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.009206,0.0092239380
10, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.009713,0.0097389221
10, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.009413,0.0094377995
1, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000218,0.0002369881
1, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000228,0.0002448559
1, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000404,0.0004189014
1, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000360,0.0003769398
2, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000243,0.0002601147
2, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000228,0.0002448559
2, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000638,0.0006630421
2, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000417,0.0004420280
3, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000235,0.0002589226
3, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000239,0.0002598763
3, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000121,0.0001349449
3, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000572,0.0005910397
4, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000229,0.0002460480
4, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000226,0.0002498627
4, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000259,0.0002830029
4, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000752,0.0007817745
5, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000240,0.0002632141
5, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000242,0.0002632141
5, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000527,0.0005450249
5, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000279,0.0002939701
6, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000206,0.0002229214
6, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000251,0.0002689362
6, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000661,0.0006790161
6, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000218,0.0002369881
7, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000218,0.0002360344
7, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000241,0.0002570152
7, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000118,0.0001330376
7, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000578,0.0005929470
8, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000243,0.0002610683
8, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000226,0.0002439022
8, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000633,0.0006489754
8, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000137,0.0001509190
9, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000233,0.0002501011
9, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000199,0.0002169609
9, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000445,0.0004589558
9, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000403,0.0004179478
