EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0002520084,
1, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0003199577,
1, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004620552,
1, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0002870560,
2, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000870228,
2, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0000610352,
2, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004401207,
2, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004570484,
3, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0001130104,
3, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0001468658,
3, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0000460148,
3, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004341602,
4, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000729561,
4, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0003900528,
4, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004010201,
4, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004298687,
5, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000731945,
5, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0001318455,
5, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0002300739,
5, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0002279282,
6, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000820160,
6, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0003831387,
6, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004200935,
6, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004210472,
7, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000879765,
7, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0004358292,
7, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004539490,
7, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004799366,
8, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0003728867,
8, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0004029274,
8, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0002679825,
8, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0005528927,
9, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000820160,
9, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0000460148,
9, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004808903,
9, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0004808903,
10, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000789165,
10, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0000460148,
10, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0004630089,
10, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0002551079,
1, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000250340,
1, 0, 4, 1000,,,R, lab004-074, 1,,,, 0.0000319481,
1, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0000360012,
1, 0, 4, 1000,,,R, lab004-074, 2,,,, 0.0000181198,
2, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000250340,
2, 0, 4, 1000,,,R, lab004-074, 2,,,, 0.0000481606,
2, 0, 4, 1000,,,R, lab004-074, 1,,,, 0.0000188351,
2, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0000190735,
3, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000259876,
3, 0, 4, 1000,,,R, lab004-074, 1,,,, 0.0003209114,
3, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0003380775,
3, 0, 4, 1000,,,R, lab004-074, 2,,,, 0.0003149509,
4, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0000870228,
4, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000259876,
