EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0005929470,,
1, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0007321835,,
1, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0008099079,,
1, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0008618832,,
2, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0004949570,,
2, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0005140305,,
2, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0003948212,,
2, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0007529259,,
3, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0004739761,,
3, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0005199909,,
3, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0006871223,,
3, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0007481575,,
4, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0008060932,,
4, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0008327961,,
4, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0010509491,,
4, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0007619858,,
5, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000989437,,
5, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0005118847,,
5, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0005500317,,
5, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0005748272,,
6, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0004038811,,
6, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0006201267,,
6, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0005309582,,
6, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0005838871,,
7, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0004570484,,
7, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0004298687,,
7, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0007209778,,
7, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0006961823,,
8, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0001528263,,
8, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0005419254,,
8, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0005829334,,
8, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0005900860,,
9, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0004870892,,
9, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0005221367,,
9, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0007200241,,
9, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0003089905,,
10, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0007808208,,
10, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0008351803,,
10, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0010058880,,
10, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0007438660,,
1, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0003921986,,
1, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0003972054,,
