BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000720, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000692, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000650, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000650, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000725, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000695, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000767, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000323, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000653, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000864, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000724, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000780, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000359, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000316, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000385, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000357, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000380, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000352, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000347, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000851, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000391, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000314, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000373, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000341, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000174, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000357, -
